Seq.No,School_Name,School Address,Full Address,Province,province_weblink,District,Zone,Education Division,School Level,Type,Year Span,Gender,Medium,latitude,longitude
290,NATHTHANDIYA DHAMMISSARA NATIONAL SCHOOL,NATHTHANDIYA,"NATHTHANDIYA DHAMMISSARA NATIONAL SCHOOL, NATHTHANDIYA, Sri Lanka",North Western,https://nwpedu.lk/,Puttalam,Chilaw,Nattandiya,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,7.412247,79.8660166
291,WENNAPPUWA ST. JOSEPH VAZ COLLEGE,WENNAPPUWA,"WENNAPPUWA ST. JOSEPH VAZ COLLEGE, WENNAPPUWA, Sri Lanka",North Western,https://nwpedu.lk/,Puttalam,Chilaw,Wennappuwa,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,7.344899,79.8544008
292,KALPITIYA AL-AQSHA NATIOAL SCHOOL,"U M U ROAD, KALPITIYA","KALPITIYA AL-AQSHA NATIOAL SCHOOL, U M U ROAD, KALPITIYA, Sri Lanka",North Western,https://nwpedu.lk/,Puttalam,Puttalam,Kalpitiya,National,1AB,4.Grd 1-13,3.Mixed,Tamil,8.2365289,79.7658554
293,ANANDA NATIONAL SCHOOL,PUTTLAM,"ANANDA NATIONAL SCHOOL, PUTTLAM, Sri Lanka",North Western,https://nwpedu.lk/,Puttalam,Puttalam,Puttalam North,National,1C,6.Grd 6-13,3.Mixed,Sinhala,8.0235574,79.8378137
294,PUTTALAM ZAHIRA COLLEGE,MANNAR ROAD  PUTTALAM,"PUTTALAM ZAHIRA COLLEGE , MANNAR ROAD  PUTTALAM, Sri Lanka",North Western,https://nwpedu.lk/,Puttalam,Puttalam,Puttalam North,National,1C,6.Grd 6-13,3.Mixed,Tamil/English,8.0269066,79.8372142
295,ANURADHAPURA SWARNAPALI GIRLS COLLEGE,ANURADHAPURA,"ANURADHAPURA SWARNAPALI GIRLS COLLEGE, ANURADHAPURA, Sri Lanka",North Central,https://www.edncp.lk/,Anuradhapura,Anuradhapura,Nuwaragampalata East,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,8.334814,80.405585
296,ANURADHAPURA ZAHIRA COLLEGE,ANURADHAPURA,"ANURADHAPURA ZAHIRA COLLEGE, ANURADHAPURA, Sri Lanka",North Central,https://www.edncp.lk/,Anuradhapura,Anuradhapura,Nuwaragampalata East,National,1AB,4.Grd 1-13,3.Mixed,Tamil/English,8.320654,80.397115
297,ANURADHAPURA CENTRAL COLLEGE,ANURADHAPURA,"ANURADHAPURA CENTRAL COLLEGE, ANURADHAPURA, Sri Lanka",North Central,https://www.edncp.lk/,Anuradhapura,Anuradhapura,Nuwaragampalata East,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,8.3358657,80.4075871
298,MEDAWACHCHIYA MAITHRIPALA SENANAYAKA CENTRAL COLLEGE,MEDAWACHCHIYA,"MEDAWACHCHIYA MAITHRIPALA SENANAYAKA CENTRAL COLLEGE, MEDAWACHCHIYA, Sri Lanka",North Central,https://www.edncp.lk/,Anuradhapura,Kebithigollewa,Medawachchiya,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,8.5349918,80.4998548
299,KEKIRAWA CENTRAL COLLEGE,KEKIRAWA,"KEKIRAWA CENTRAL COLLEGE, KEKIRAWA, Sri Lanka",North Central,https://www.edncp.lk/,Anuradhapura,Kekirawa,Kekirawa,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,8.0585147,80.5859047
300,EPPAWALA SRI SIDDARTHA MAHA VIDYALAYA,EPPAWALA,"EPPAWALA SRI SIDDARTHA MAHA VIDYALAYA, EPPAWALA, Sri Lanka",North Central,https://www.edncp.lk/,Anuradhapura,Thambuttegama,Thalawa,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.7587,80.7864
301,VILAYAYA C.C,ARALAGANWILA,"VILAYAYA C.C, ARALAGANWILA, Sri Lanka",North Central,https://www.edncp.lk/,Polonnaruwa,Dimbulagala,Aralaganwila,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.78252,81.18279
302,BAKAMUNA MAHASEN MADYA MAHA VIDYALAYA,BAKAMUNA,"BAKAMUNA MAHASEN MADYA MAHA VIDYALAYA, BAKAMUNA, Sri Lanka",North Central,https://www.edncp.lk/,Polonnaruwa,Hingurakgoda,Elahera,National,1AB,6.Grd 6-13,3.Mixed,Sinhala,6.7587,80.7864
303,ANANDA BALIKA N.S,HINGURAKGODA,"ANANDA BALIKA N.S, HINGURAKGODA, Sri Lanka",North Central,https://www.edncp.lk/,Polonnaruwa,Hingurakgoda,Hingurakgoda,National,1AB,6.Grd 6-13,2.Girls,Sinhala/English,8.0401642,80.9516421
304,HINGURAKGODA MINNERIYA N.S.,HINGURAKGODA,"HINGURAKGODA MINNERIYA N.S., HINGURAKGODA, Sri Lanka",North Central,https://www.edncp.lk/,Polonnaruwa,Hingurakgoda,Hingurakgoda,National,1AB,6.Grd 6-13,3.Mixed,Sinhala,8.04981,80.9814
305,MEDIRIGIRIYA NATIONAL SCHOOL,MEDIRIGIRIYA,"MEDIRIGIRIYA NATIONAL SCHOOL, MEDIRIGIRIYA, Sri Lanka",North Central,https://www.edncp.lk/,Polonnaruwa,Hingurakgoda,Medirigiriya,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,8.1404399,80.9640882
306,DIVULANKADAWALA CENTRAL COLLEGE,DIVULANKADAWALA,"DIVULANKADAWALA CENTRAL COLLEGE, DIVULANKADAWALA, Sri Lanka",North Central,https://www.edncp.lk/,Polonnaruwa,Hingurakgoda,Medirigiriya,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,8.1139742,80.9323482
307,POLONNARUWA THOPAWEWA MAHA VIDYALAYA,POLONNARUWA,"POLONNARUWA THOPAWEWA MAHA VIDYALAYA, POLONNARUWA, Sri Lanka",North Central,https://www.edncp.lk/,Polonnaruwa,Polonnaruwa,Thamankaduwa,National,1AB,4.Grd 1-13,3.Mixed,Sinhala,7.9335253,81.0016901
308,POLONNARUWA ROYAL CENTRAL COLLEGE,"NEW TOWN, POLONNARUWA","POLONNARUWA ROYAL CENTRAL COLLEGE, NEW TOWN, POLONNARUWA, Sri Lanka",North Central,https://www.edncp.lk/,Polonnaruwa,Polonnaruwa,Thamankaduwa,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.991263765,81.02727855
309,POLONNARUWA MUSLIM CENTRAL COLLEGE,KADURUWELA POLONNARUWA,"POLONNARUWA MUSLIM CENTRAL COLLEGE, KADURUWELA POLONNARUWA, Sri Lanka",North Central,https://www.edncp.lk/,Polonnaruwa,Polonnaruwa,Thamankaduwa,National,1AB,6.Grd 6-13,3.Mixed,Tamil,7.991263765,81.02727855
310,BADULLA DHARMADUTHA NATIONAL COLLEGE,BADULLA,"BADULLA DHARMADUTHA NATIONAL COLLEGE, BADULLA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Badulla,Badulla,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,6.9788649,81.0593041
311,BADULLA VISHAKA GIRLS' HIGH SCHOOL,BADULLA,"BADULLA VISHAKA GIRLS' HIGH SCHOOL, BADULLA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Badulla,Badulla,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.9808771,81.0604081
312,BADULLA MADYA MAHA VIDYALAYA,BADULLA,"BADULLA MADYA MAHA VIDYALAYA, BADULLA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Badulla,Badulla,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.7587,80.7864
313,BADULLA SARASWATHY CENTRAL COLLEGE,"MAHIYANGANA ROAD, BADULLA","BADULLA SARASWATHY CENTRAL COLLEGE, MAHIYANGANA ROAD, BADULLA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Badulla,Badulla,National,1AB,6.Grd 6-13,3.Mixed,Tamil/English,6.994557,81.057621
314,ETTAMPITIYA NATIONAL COLLEGE,ETTAMPITIYA,"ETTAMPITIYA NATIONAL COLLEGE, ETTAMPITIYA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Badulla,Hali-Ela,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.9387,80.9717
315,HALI-ELA CENTRAL COLLEGE,HALI-ELA,"HALI-ELA CENTRAL COLLEGE, HALI-ELA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Badulla,Hali-Ela,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,7.1463,80.7667
316,BANDARAWELA KUDAKUSUM BALIKA M.V.,BANDARAWELA,"BANDARAWELA KUDAKUSUM BALIKA M.V., BANDARAWELA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Bandarawela,Bandarawela,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,6.8254915,80.9938279
317,BANDARAWELA M.M.V.,"KINIGAMA, BANDARAWELA","BANDARAWELA M.M.V., KINIGAMA, BANDARAWELA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Bandarawela,Bandarawela,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.8293295,81.0117136
318,BANDARAWELA ST. JOSEPH'S COLLEGE,BANDARAWELA,"BANDARAWELA ST. JOSEPH'S COLLEGE, BANDARAWELA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Bandarawela,Bandarawela,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.8254915,80.9938279
319,BANDARAWELA VISHAKA B.M.M.V.,BANDARAWELA,"BANDARAWELA VISHAKA B.M.M.V., BANDARAWELA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Bandarawela,Bandarawela,National,1AB,6.Grd 6-13,2.Girls,Sinhala/English,6.8254915,80.9938279
320,HALPE NATIONAL SCHOOL,HELA - HALPE,"HALPE NATIONAL SCHOOL, HELA - HALPE, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Bandarawela,Ella,National,1AB,6.Grd 6-13,3.Mixed,Sinhala,6.8885,81.0357
321,NAULLA M.M.V.,"NAULLA, DEMODARA","NAULLA M.M.V., NAULLA, DEMODARA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Bandarawela,Ella,National,1C,4.Grd 1-13,3.Mixed,Sinhala,6.8858,81.0593
322,ANANDA M.M.V.,"WALHAPUTHENNA, HALDUMMULLA","ANANDA M.M.V., WALHAPUTHENNA, HALDUMMULLA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Bandarawela,Haldummulla,National,1AB,6.Grd 6-13,3.Mixed,Sinhala,6.7642793,80.8670339
323,KOSLANDA M.M.V.,"WELLAWAYA ROAD, KOSLANDA","KOSLANDA M.M.V., WELLAWAYA ROAD, KOSLANDA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Bandarawela,Haldummulla,National,1C,6.Grd 6-13,3.Mixed,Sinhala/English,6.7781311,81.0350928
324,SRI JANANANDA.M.V.,"KADURUGAMUWA, DIYATHALAWA","SRI JANANANDA.M.V., KADURUGAMUWA, DIYATHALAWA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Bandarawela,Haputale,National,1AB,6.Grd 6-13,3.Mixed,Sinhala,6.8016,80.9398
325,KAHAGOLLA M.V.,"KAHAGOLLA, DIYATHALAWA","KAHAGOLLA M.V., KAHAGOLLA, DIYATHALAWA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Bandarawela,Haputale,National,1C,4.Grd 1-13,3.Mixed,Sinhala,7.6526048,80.1745316
326,MAHIYANGANAYA N.S,MAHIYANGANAYA,"MAHIYANGANAYA N.S, MAHIYANGANAYA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Mahiyanganaya,Mahiyanganaya,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.3373266,80.9923826
327,ANDAULPOTHA N.S.,"URANIYA, MAHIYANGANAYA","ANDAULPOTHA N.S., URANIYA, MAHIYANGANAYA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Mahiyanganaya,Rideemaliyedda,National,1C,6.Grd 6-13,3.Mixed,Sinhala,7.261263139,81.08360744
328,PASSARA TAMIL MAHA VIDYALAYA,PASSARA,"PASSARA TAMIL MAHA VIDYALAYA, PASSARA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Passara,Passara,National,1AB,4.Grd 1-13,3.Mixed,Tamil,6.7587,80.7864
329,PASSARA MADYA VIDYALAYA,PASSARA,"PASSARA MADYA VIDYALAYA, PASSARA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Passara,Passara,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.9349572,81.1543123
330,VIYALUWA D.S.SENANAYAKE NATIONAL SCHOOL,KANDAKETIYA,"VIYALUWA D.S.SENANAYAKE NATIONAL SCHOOL, KANDAKETIYA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Viyaluwa,Kandaketiya,National,1C,6.Grd 6-13,3.Mixed,Sinhala,7.1706815,81.0042366
331,MEEGAHAKIVULA NATIONAL COLLEGE,"MEEGAHAKIVULA, BADULLA","MEEGAHAKIVULA NATIONAL COLLEGE, MEEGAHAKIVULA, BADULLA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Viyaluwa,Meegahakivula,National,1AB,6.Grd 6-13,3.Mixed,Sinhala,7.135556126,81.04574672
332,KANDEGEDARA NATIONAL SCHOOL,"KANDEGEDARA, HALIELA","KANDEGEDARA NATIONAL SCHOOL, KANDEGEDARA, HALIELA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Viyaluwa,Soranatota,National,1C,6.Grd 6-13,3.Mixed,Sinhala,7.4715867,80.6134887
333,LOONUWATTA NATIONAL SCHOOL,LOONUWATTA,"LOONUWATTA NATIONAL SCHOOL, LOONUWATTA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Welimada,Uva Paranagama,National,1AB,4.Grd 1-13,3.Mixed,Sinhala,6.9551,80.92478
334,WELIMADA MADYA MAHA VIDYALAYA,WELIMADA,"WELIMADA MADYA MAHA VIDYALAYA, WELIMADA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Welimada,Welimada,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.7587,80.7864
335,GURUTHALAWA MUSLIM CENTRAL COLLEGE,GURUTHATHLAWA,"GURUTHALAWA MUSLIM CENTRAL COLLEGE, GURUTHATHLAWA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Welimada,Welimada,National,1AB,6.Grd 6-13,3.Mixed,Tamil/English,6.84671,80.9089
336,BORALANDA WANGIYAKUMBURA M.M.V.,BORALANDA,"BORALANDA WANGIYAKUMBURA M.M.V., BORALANDA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Badulla,Welimada,Welimada,National,1C,6.Grd 6-13,3.Mixed,Sinhala,6.827,80.894
337,BIBILE WELLASSA N.S.,"HEWELWELA, BIBILE","BIBILE WELLASSA N.S., HEWELWELA, BIBILE, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Moneragala,Bibile,Bibile,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.1296335,81.2164687
338,MEDAGAMA N.S.,MEDAGAMA,"MEDAGAMA N.S., MEDAGAMA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Moneragala,Bibile,Medagama,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.0362111,81.2736827
339,BADALKUMBURA NISHSHANKA M.M.V.,BADALKUMBURA,"BADALKUMBURA NISHSHANKA M.M.V., BADALKUMBURA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Moneragala,Moneragala,Badalkumbura,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.8972753,81.2388449
340,MONARAGALA RAJAKEEYA V.,MONARAGALA,"MONARAGALA RAJAKEEYA V., MONARAGALA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Moneragala,Moneragala,Moneragala,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.871681,81.3499028
341,MONARAGALA MAHANAMA M.M.V.,MONARAGALA,"MONARAGALA MAHANAMA M.M.V., MONARAGALA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Moneragala,Moneragala,Moneragala,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.871681,81.3499028
342,KATHARAGAMA M.M.V,KATAHARAGAMA.,"KATHARAGAMA M.M.V, KATAHARAGAMA., Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Moneragala,Thanamalvila,Thanamalwila,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.5524,81.4831
343,THANAMALWILA M.M.V,THANAMALWILA.,"THANAMALWILA M.M.V, THANAMALWILA., Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Moneragala,Thanamalvila,Thanamalwila,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.4331,81.1285
344,BUTTALA DUTUGEMUNU CENTRAL COLLEGE,BUTTALA,"BUTTALA DUTUGEMUNU CENTRAL COLLEGE, BUTTALA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Moneragala,Wellawaya,Buttala,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.7615558,81.2490804
345,MALWATTAWALA M.M.V.,WELLAWAYA,"MALWATTAWALA M.M.V., WELLAWAYA, Sri Lanka",Uva,http://www.edudept.up.gov.lk/upde/,Moneragala,Wellawaya,Wellawaya,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.7288,81.0917
346,BALANGODA ANANDA MAITHRIYA M.M.V.,"MIRISWATTA, BALANGODA","BALANGODA ANANDA MAITHRIYA M.M.V., MIRISWATTA, BALANGODA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Ratnapura,Balangoda,Balangoda,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.6449114,80.6964168
347,DEHIGASTALAWA JAILANI MUS M.V.,"DEHIGASTALAWA, BALANGODA","DEHIGASTALAWA JAILANI MUS M.V., DEHIGASTALAWA, BALANGODA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Ratnapura,Balangoda,Balangoda,National,1AB,6.Grd 6-13,3.Mixed,Tamil/English,6.6403,80.7094
348,EMBILIPITIYA PRESIDENT COLLEGE,"NEW TOWN,EMBILIPITIYA","EMBILIPITIYA PRESIDENT COLLEGE, NEW TOWN,EMBILIPITIYA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Ratnapura,Embilipitiya,Embilipitiya,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,6.3230681,80.8463357
349,GODAKAWELA RAHULA NATIONAL SCHOOL,GODAKAWELA,"GODAKAWELA RAHULA NATIONAL SCHOOL, GODAKAWELA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Ratnapura,Embilipitiya,Godakawela,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.5042211,80.651643
350,KOLONNA NATIONAL SCHOOL.,KOLONNA,"KOLONNA NATIONAL SCHOOL., KOLONNA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Ratnapura,Embilipitiya,Kolonna,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.3998917,80.6943234
351,KALAWANA NATIONAL SCHOOL,KALAWANA,"KALAWANA NATIONAL SCHOOL, KALAWANA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Ratnapura,Nivitigala,Kalawana,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.5305212,80.4074073
352,KARAWITA NATIONAL SCHOOL,KARAWITA,"KARAWITA NATIONAL SCHOOL, KARAWITA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Ratnapura,Nivitigala,Nivitigala,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.5866,80.4219
353,EHELIYAGODA M.M.V.,EHELIYAGODA,"EHELIYAGODA M.M.V., EHELIYAGODA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Ratnapura,Ratnapura,Eheliyagoda,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.8577,80.2814
354,PELMADULLA GANKANDA CENTRAL COLLEGE,"VIDYALA MAWATHA, PELMADULLA","PELMADULLA GANKANDA CENTRAL COLLEGE, VIDYALA MAWATHA, PELMADULLA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Ratnapura,Ratnapura,Pelmadulla,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.4144134,80.5540131
355,RATNAPURA ST. ALOYSIUS NATIONAL SCHOOL,CHURCH ROAD RATNAPURA,"RATNAPURA ST. ALOYSIUS NATIONAL SCHOOL, CHURCH ROAD RATNAPURA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Ratnapura,Ratnapura,Ratnapura,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,6.6803915,80.4019752
356,RATNAPURA FERGUSION HIGH SCHOOL,RATNAPURA,"RATNAPURA FERGUSION HIGH SCHOOL, RATNAPURA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Ratnapura,Ratnapura,Ratnapura,National,1AB,4.Grd 1-13,2.Girls,Sinhala/Tamil/English,6.681805,80.399371
357,RATNAPURA CONVENT OF THE CHILD JESUS NATIONAL SCHOOL,RATNAPURA,"RATNAPURA CONVENT OF THE CHILD JESUS NATIONAL SCHOOL, RATNAPURA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Ratnapura,Ratnapura,Ratnapura,National,1AB,4.Grd 1-13,2.Girls,Sinhala/Tamil/English,6.6803915,80.4019752
358,RATNAPURA SUMANA BALIKA V,"GETANGAMA, RATNAPURA","RATNAPURA SUMANA BALIKA V, GETANGAMA, RATNAPURA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Ratnapura,Ratnapura,Ratnapura,National,1AB,6.Grd 6-13,2.Girls,Sinhala/English,6.6715,80.3882
359,RATNAPURA SEEVALEE CENTRAL COLLEGE,"HIDELLANA, RATNAPURA","RATNAPURA SEEVALEE CENTRAL COLLEGE, HIDELLANA, RATNAPURA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Ratnapura,Ratnapura,Ratnapura,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.7161,80.3795
360,DEHIOWITA NATIONAL SCHOOL,DEHIOWITA,"DEHIOWITA NATIONAL SCHOOL, DEHIOWITA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Kegalle,Dehiowita,Dehiowita,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.97369,80.26401
361,DERANIYAGALA SIRISAMAN NATIONAL SCHOOL,"VIDYALA MAWATHA, DERANIYAGALA","DERANIYAGALA SIRISAMAN NATIONAL SCHOOL, VIDYALA MAWATHA, DERANIYAGALA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Kegalle,Dehiowita,Deraniyagala,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,6.921481,80.3403214
362,RUWANWELLA RAJASINGHE M.M.V.,RUWANWELLA,"RUWANWELLA RAJASINGHE M.M.V., RUWANWELLA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Kegalle,Dehiowita,Ruwanwella,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.0447864,80.2539285
363,YATIYANTOTA DR. N.M. PERERA M.M.V.,YATIYANTOTA,"YATIYANTOTA DR. N.M. PERERA M.M.V., YATIYANTOTA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Kegalle,Dehiowita,Yatiyantota,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.02332,80.30125
364,PINDENIYA M.M.V,"PINDENIYA, ATALA","PINDENIYA M.M.V, PINDENIYA, ATALA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Kegalle,Kegalle,Galigamuwa,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.1596277,80.2957297
365,KEGALU VIDYALAYA,KEGALLE,"KEGALU VIDYALAYA, KEGALLE, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Kegalle,Kegalle,Kegalle,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,8.11667,79.98333
366,KEGALLE ST. MARYS COLLEGE,KEGALLE,"KEGALLE ST. MARYS COLLEGE, KEGALLE, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Kegalle,Kegalle,Kegalle,National,1AB,4.Grd 1-13,1.Boys,Sinhala/English,7.2533358,80.3490051
367,KEGALU BALIKA M.V,"BANDARANAYAKA MAWATHA,  KEGALLE","KEGALU BALIKA M.V, BANDARANAYAKA MAWATHA,  KEGALLE, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Kegalle,Kegalle,Kegalle,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,7.252197502,80.35585278
368,KEGALLE ST. JOSEPH'S BALIKA M.V.,KEGALLE,"KEGALLE ST. JOSEPH'S BALIKA M.V., KEGALLE, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Kegalle,Kegalle,Kegalle,National,1AB,4.Grd 1-13,2.Girls,Sinhala/English,7.2533358,80.3490051
369,THOLANGAMUWA DUDLEY SENANAYAKA CENTRAL COLLEGE,THOLANGAMUWA,"THOLANGAMUWA DUDLEY SENANAYAKA CENTRAL COLLEGE, THOLANGAMUWA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Kegalle,Kegalle,Warakapola,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,7.465717539,80.61727274
370,MAWATHAGODA RIVISANDA M.M.V.,USSAPITIYA,"MAWATHAGODA RIVISANDA M.M.V., USSAPITIYA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Kegalle,Mawanella,Aranayaka,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.2168297,80.4459454
371,MAWANELLA MAYURAPADA M.M.V.,MAWANELLA,"MAWANELLA MAYURAPADA M.M.V., MAWANELLA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Kegalle,Mawanella,Mawanella,National,1AB,4.Grd 1-13,3.Mixed,Sinhala/English,7.2492528,80.4422685
372,MAWANELLA ZAHIRA COLLEGE,MAWANELLA,"MAWANELLA ZAHIRA COLLEGE, MAWANELLA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Kegalle,Mawanella,Mawanella,National,1AB,4.Grd 1-13,3.Mixed,Tamil/English,7.2492528,80.4422685
373,PINNAWALA M.M.V.,RAMBUKKANA,"PINNAWALA M.M.V., RAMBUKKANA, Sri Lanka",Sabaragamuwa,https://moe.sg.gov.lk/,Kegalle,Mawanella,Rambukkana,National,1AB,6.Grd 6-13,3.Mixed,Sinhala/English,7.312403,80.3993439
